employeeId,department,tenure_months,attendance_rate,late_count,absence_count,leave_days_taken,annual_leave_remaining,performance_score,dept_avg_performance,overtime_hours,half_day_count,prev_month_score,manager_change_count,warnings_issued,attrition_risk,attrition_label
EMP0052,Sales,75,100.0,0,0,11,9,64.02,66.51,2.2,0,70.3,1,0,7.51,0
EMP0053,Engineering,41,87.38,0,2,4,16,60.6,84.29,3.2,2,51.07,0,1,9.16,0
EMP0054,Sales,59,94.66,1,2,0,20,95.77,73.95,12.3,0,100.0,0,0,4.96,0
EMP0055,Support,92,98.55,0,0,6,14,76.03,73.66,8.2,4,85.1,1,0,8.9,0
EMP0056,Finance,4,100.0,0,0,11,9,84.51,62.01,0,1,90.36,2,0,8.76,0
EMP0057,Operations,30,79.09,5,3,8,12,84.14,72.94,0.8,0,71.98,0,0,10.31,0
EMP0058,Finance,26,100.0,0,0,10,10,66.58,74.47,2.8,1,70.48,0,1,3.08,0
EMP0059,Sales,96,62.02,9,5,14,6,63.79,67.72,0,0,60.31,1,1,15.46,0
EMP0060,Support,6,83.32,5,0,4,16,83.88,74.92,0.3,2,86.57,3,0,12.46,0
EMP0061,Finance,62,97.83,0,1,2,18,68.57,75.15,0,0,69.04,0,1,1.2,0
EMP0062,HR,2,87.44,3,0,12,8,72.95,70.03,0,0,78.81,0,2,8.9,0
EMP0063,Support,9,79.16,3,2,2,18,77.17,100.0,8.6,1,78.39,0,0,10.17,0
EMP0064,Support,70,70.74,8,5,11,9,87.19,58.51,12.1,2,91.24,0,2,17.08,1
EMP0065,Support,48,56.16,9,5,11,9,76.64,80.09,0,0,79.49,0,0,13.54,0
EMP0066,Operations,73,94.27,4,0,6,14,77.94,77.15,0,0,73.9,3,3,9.43,0
EMP0067,Engineering,85,92.26,1,0,13,7,71.88,74.6,7.1,0,71.32,0,0,6.08,0
EMP0068,HR,65,90.95,4,0,0,20,67.57,73.75,2.8,3,63.3,0,0,5.38,0
EMP0069,Engineering,42,84.56,3,2,13,7,62.15,84.83,3.8,0,60.56,0,0,11.32,0
EMP0070,Sales,93,96.44,0,1,5,15,80.6,74.12,0,0,75.25,2,0,7.29,0
EMP0071,Engineering,12,69.96,8,4,9,11,100.0,63.97,0.6,0,100.0,2,0,16.83,1
EMP0072,Finance,77,85.85,4,1,7,13,47.03,69.0,10.2,1,48.33,0,0,10.19,0
EMP0073,Sales,79,81.05,3,1,4,16,72.82,73.02,14.1,2,71.46,0,0,5.38,0
EMP0074,Support,82,93.18,1,0,7,13,66.15,72.32,8.9,2,67.16,2,0,4.67,1
EMP0075,Engineering,35,76.19,6,2,5,15,77.6,72.82,6.4,0,84.62,0,0,6.77,0
EMP0076,Engineering,1,96.17,4,0,1,19,72.26,66.51,4.1,2,75.2,0,0,10.06,0
EMP0077,HR,95,90.25,2,3,4,16,57.76,72.91,0,1,54.17,0,1,9.9,0
EMP0078,Finance,12,82.77,4,1,9,11,98.92,74.85,0,1,100.0,0,0,4.81,0
EMP0079,Finance,94,100.0,0,0,9,11,73.68,82.74,12.3,4,77.38,0,0,6.52,0
EMP0080,Support,73,66.06,5,3,17,3,67.92,63.91,5.6,1,73.83,0,0,11.17,1
EMP0081,Finance,37,100.0,1,1,3,17,58.41,61.64,0.4,2,58.11,1,0,4.32,0
EMP0082,Operations,8,67.15,9,6,0,20,91.41,87.17,6.3,2,95.78,0,0,15.41,0
EMP0083,Finance,87,70.7,5,4,6,14,91.48,72.27,13.4,0,96.53,2,0,7.27,0
EMP0084,Finance,40,100.0,0,0,11,9,85.15,64.88,11.4,1,83.19,1,1,1.07,0
EMP0085,Support,86,77.92,6,2,9,11,81.59,69.29,4.4,1,95.79,1,0,12.47,0
EMP0086,Sales,5,75.1,3,2,4,16,79.0,71.06,0,2,82.13,0,0,7.99,0
EMP0087,Sales,37,88.32,0,1,10,10,97.95,79.33,1.8,0,95.7,0,1,1.72,0
EMP0088,HR,21,96.8,0,1,10,10,56.0,71.49,3.1,2,46.53,0,1,2.5,0
EMP0089,Operations,56,100.0,1,1,0,20,87.13,68.84,7.5,0,84.51,0,0,3.6,0
EMP0090,Finance,19,94.4,2,1,2,18,88.08,74.22,4.2,2,95.27,1,0,7.16,0
EMP0091,Engineering,37,88.47,3,1,13,7,70.39,79.88,0,0,68.88,0,0,7.21,1
EMP0092,Finance,31,81.02,4,2,3,17,51.8,61.48,1.1,0,63.21,2,0,13.34,0
EMP0093,Support,3,85.2,4,2,13,7,88.7,75.18,0.8,0,93.51,0,1,14.52,0
EMP0094,HR,81,90.67,3,0,0,20,83.14,79.26,0,0,84.07,0,1,7.62,1
EMP0095,Support,25,82.63,7,4,9,11,70.35,67.54,6.3,0,80.99,0,0,16.06,0
EMP0096,Sales,35,94.11,0,2,10,10,81.72,73.59,6.2,0,74.95,0,0,3.35,0
EMP0097,Engineering,94,95.66,0,1,7,13,100.0,85.15,7.9,0,98.17,1,2,9.38,0
EMP0098,HR,5,94.18,2,0,5,15,77.41,79.99,9.4,0,76.93,0,0,8.42,0
EMP0099,Finance,32,90.67,2,1,12,8,80.0,76.95,0,1,78.45,1,3,15.09,0
EMP0100,Engineering,58,96.86,2,2,7,13,100.0,68.79,0,0,96.43,0,0,2.8,0
EMP0101,Operations,47,81.9,4,2,10,10,74.81,67.76,2.1,1,73.47,0,0,5.38,0
EMP0102,Support,62,67.72,7,5,6,14,93.77,63.51,6.8,0,92.29,1,0,18.16,0
EMP0103,HR,65,91.43,1,1,9,11,80.31,73.14,0,3,84.87,1,0,3.74,0
EMP0104,Operations,81,83.17,5,1,7,13,81.56,68.07,0,0,80.32,0,1,4.3,0
EMP0105,Support,74,87.24,4,0,5,15,100.0,64.0,1.6,0,100.0,1,0,6.59,0
EMP0106,Operations,57,76.43,6,3,9,11,81.92,82.34,3.6,0,77.89,0,0,13.01,0
EMP0107,HR,32,90.45,2,3,5,15,42.74,86.98,0,3,50.31,0,0,8.82,0
EMP0108,Finance,64,100.0,0,0,7,13,76.84,83.88,6.2,2,82.3,0,0,0.0,0
EMP0109,Finance,94,79.89,6,3,8,12,61.7,73.1,9.8,0,59.55,1,0,12.87,0
EMP0110,Engineering,51,63.32,12,4,6,14,85.72,73.13,5.0,3,92.14,1,0,17.08,0
EMP0111,Operations,42,97.55,0,0,11,9,84.33,65.46,3.7,0,77.6,0,0,3.6,0
EMP0112,HR,75,78.89,8,4,3,17,64.98,63.04,0,0,62.28,0,0,11.36,0
EMP0113,HR,19,91.89,1,0,5,15,79.49,67.79,7.0,1,85.52,0,0,7.89,0
EMP0114,Support,18,72.71,6,5,7,13,48.91,65.44,5.9,0,59.42,1,0,15.81,0
EMP0115,HR,25,97.36,0,0,17,3,97.89,71.58,0,0,96.75,0,2,6.96,0
EMP0116,Sales,87,63.42,8,4,10,10,75.14,94.25,7.9,3,71.8,1,1,19.4,0
EMP0117,Finance,72,85.84,2,0,4,16,74.99,63.81,2.3,2,83.91,1,0,7.69,1
EMP0118,Sales,21,64.6,10,6,4,16,85.27,70.02,11.8,1,99.96,0,0,16.77,0
EMP0119,Operations,54,93.51,0,4,1,19,60.94,93.87,0,3,65.17,0,0,5.62,0
EMP0120,Finance,59,100.0,0,0,8,12,83.33,76.38,6.7,1,77.9,0,0,4.54,0
EMP0121,Sales,87,88.34,1,3,1,19,81.84,85.18,8.6,1,75.44,0,0,7.88,0
EMP0122,Finance,43,81.84,6,4,8,12,72.24,80.04,7.5,0,70.22,2,0,15.14,0
EMP0123,Finance,48,81.66,3,3,9,11,73.73,66.28,7.8,0,65.54,1,0,10.95,0
EMP0124,Engineering,68,70.32,8,5,10,10,90.32,64.57,3.7,1,93.18,0,0,15.61,0
EMP0125,Engineering,66,84.18,4,3,11,9,57.52,71.8,0,2,54.52,0,0,11.05,0
EMP0126,Support,9,83.91,3,5,0,20,62.66,76.84,6.9,0,63.52,2,0,10.22,0
EMP0127,HR,49,100.0,1,0,6,14,78.49,82.99,3.7,3,76.17,1,1,10.58,0
EMP0128,Support,70,77.59,6,3,12,8,79.08,84.65,0,3,82.29,0,2,14.7,0
EMP0129,Engineering,13,77.16,4,2,0,20,74.14,65.76,6.8,1,75.94,0,3,7.52,0
EMP0130,Sales,41,69.75,6,4,5,15,100.0,66.81,3.2,0,87.73,0,1,15.55,0
EMP0131,Sales,64,98.55,0,0,4,16,52.64,69.34,6.8,1,51.22,0,0,7.48,0
EMP0132,HR,8,58.93,8,5,7,13,74.42,64.07,0,1,78.47,1,0,16.22,0
EMP0133,Sales,6,93.43,0,1,1,19,59.08,79.91,0.1,1,56.61,2,2,10.31,0
EMP0134,HR,32,81.73,2,2,9,11,69.03,63.69,5.8,0,73.44,2,0,13.37,0
EMP0135,Finance,27,79.47,6,2,6,14,80.62,84.65,0.9,0,84.32,0,0,10.27,0
EMP0136,Support,88,77.35,7,1,8,12,72.98,74.19,0,2,66.33,0,1,12.8,0
EMP0137,Sales,5,90.5,1,1,6,14,81.61,72.95,2.4,1,81.74,0,0,8.46,0
EMP0138,HR,85,86.62,3,1,7,13,62.97,76.47,3.8,1,62.09,1,2,6.02,0
EMP0139,Operations,31,93.24,3,1,5,15,63.21,66.43,8.3,2,66.71,1,1,9.0,0
EMP0140,Engineering,12,78.33,6,1,8,12,72.3,81.49,0,0,69.92,3,1,20.02,0
EMP0141,Support,73,84.34,3,4,12,8,88.54,93.0,6.8,0,83.97,0,1,17.6,0
EMP0142,Engineering,39,92.65,2,1,4,16,84.01,75.15,0.7,3,80.74,0,3,7.97,0
EMP0143,Engineering,44,74.93,4,1,2,18,64.83,76.83,0,1,72.38,0,0,13.53,0
EMP0144,Sales,38,93.64,0,1,9,11,69.27,74.55,0,1,61.01,0,0,5.38,0
EMP0145,Operations,56,73.52,7,3,8,12,70.24,69.22,0.9,0,72.35,0,0,13.13,0
EMP0146,Operations,74,69.91,7,4,10,10,73.09,78.2,8.2,0,76.44,0,2,20.82,0
EMP0147,Sales,26,81.75,4,3,8,12,81.45,80.58,0,0,76.53,1,0,12.14,0
EMP0148,Support,26,80.56,4,2,10,10,72.12,88.68,1.9,0,63.66,1,0,12.43,0
EMP0149,Sales,24,81.69,2,4,6,14,70.11,71.84,12.9,2,63.88,0,0,4.95,0
EMP0150,Support,20,83.41,1,5,13,7,59.95,57.02,3.4,0,60.74,1,0,10.05,0
EMP0151,Support,11,95.01,1,0,5,15,60.31,67.93,0,2,55.29,1,0,5.71,0
EMP0152,Support,67,70.9,6,4,11,9,53.44,73.33,0.8,2,55.53,0,2,16.85,0
EMP0153,Support,19,81.63,5,3,3,17,70.33,73.46,0,1,72.54,1,0,11.63,0
EMP0154,Operations,95,88.28,3,2,12,8,83.82,70.77,6.2,0,82.7,0,0,4.89,0
EMP0155,HR,1,85.71,2,2,0,20,79.99,78.57,1.2,0,81.06,0,1,13.01,0
EMP0156,Sales,50,75.79,4,2,14,6,55.0,73.16,0,0,47.6,0,0,11.01,0
EMP0157,Support,19,75.54,6,4,10,10,81.81,70.99,0,2,89.65,0,0,12.82,0
EMP0158,Engineering,46,100.0,0,0,11,9,55.13,67.17,7.8,0,51.84,0,0,2.04,0
EMP0159,Engineering,36,89.56,3,1,2,18,76.31,64.59,3.5,0,69.37,3,0,12.63,0
EMP0160,HR,70,90.48,3,1,2,18,74.44,81.12,4.9,1,86.67,1,0,7.0,0
EMP0161,Support,76,79.1,2,2,5,15,55.71,80.63,0,0,48.7,0,0,7.13,0
EMP0162,Sales,35,100.0,0,1,3,17,89.35,72.62,5.1,0,96.87,1,0,8.91,0
EMP0163,Operations,87,82.81,4,1,3,17,70.07,78.79,0,0,71.75,1,1,12.33,0
EMP0164,Sales,1,100.0,0,2,13,7,59.67,83.39,0,0,52.72,1,0,15.1,0
EMP0165,Sales,74,100.0,2,0,0,20,74.33,64.31,0,4,72.5,0,0,3.85,0
EMP0166,Support,17,95.51,0,2,2,18,85.02,85.27,8.4,0,88.16,0,1,5.28,0
EMP0167,Engineering,91,94.87,1,2,10,10,58.92,82.33,4.3,3,58.13,1,0,12.03,0
EMP0168,Engineering,14,78.4,8,4,13,7,74.15,79.44,3.9,0,70.94,1,0,14.76,0
EMP0169,Operations,53,78.33,4,3,16,4,78.57,74.07,0,0,80.95,0,0,14.03,0
EMP0170,Support,78,81.78,8,5,9,11,80.75,70.95,1.6,0,77.89,1,1,17.09,0
EMP0171,Operations,64,85.02,3,2,7,13,66.15,63.42,11.5,0,70.16,0,0,9.99,1
EMP0172,Sales,9,96.33,1,3,3,17,64.78,71.82,0,0,67.73,0,0,9.48,0
EMP0173,Engineering,66,100.0,0,0,10,10,53.66,68.24,0,0,48.39,2,0,9.39,0
EMP0174,Engineering,59,84.93,3,1,2,18,75.01,75.79,4.7,0,75.86,0,1,7.48,0
EMP0175,Support,35,87.36,2,2,5,15,58.6,73.23,20.2,0,61.74,0,0,5.94,0
EMP0176,Operations,33,91.72,0,0,6,14,73.94,75.79,3.3,2,73.51,2,0,6.52,1
EMP0177,Support,95,83.22,3,2,16,4,62.86,71.37,2.7,0,73.02,0,0,11.04,0
EMP0178,HR,37,89.52,1,2,10,10,66.1,77.82,0,1,69.75,3,3,17.34,0
EMP0179,Sales,32,100.0,2,1,8,12,59.86,82.21,4.3,1,52.9,1,0,3.7,0
EMP0180,HR,63,100.0,0,0,10,10,83.77,79.66,0,2,84.96,1,0,1.38,0
EMP0181,HR,10,84.39,3,2,6,14,66.93,82.15,1.3,1,78.24,0,0,7.75,0
EMP0182,Sales,14,92.03,2,0,8,12,38.72,76.81,9.0,0,35.25,0,0,8.6,0
EMP0183,Engineering,28,93.5,0,1,9,11,63.64,72.26,0,1,69.31,0,0,6.25,0
EMP0184,HR,14,90.19,1,3,8,12,81.37,78.45,0,0,81.02,0,0,3.55,1
EMP0185,Engineering,26,98.63,0,2,14,6,80.01,83.58,5.8,1,75.28,1,0,10.8,0
EMP0186,Operations,46,89.7,3,1,16,4,92.99,75.18,9.0,0,94.8,0,0,9.57,0
EMP0187,Sales,32,73.29,4,5,0,20,76.63,66.15,2.1,2,71.08,0,0,10.17,0
EMP0188,Finance,8,92.88,0,0,12,8,74.89,75.08,8.5,0,78.41,1,1,6.84,0
EMP0189,HR,46,100.0,0,0,10,10,64.5,68.24,10.2,0,73.44,0,0,2.59,0
EMP0190,HR,70,82.95,5,3,9,11,77.33,92.89,4.1,1,84.53,1,2,14.94,0
EMP0191,Engineering,19,65.08,6,5,0,20,96.81,61.62,14.2,0,85.09,0,0,13.12,0
EMP0192,Support,63,83.61,3,4,6,14,96.2,76.79,11.9,1,91.64,1,0,10.87,0
EMP0193,Sales,51,100.0,0,0,6,14,63.42,66.26,0,2,73.34,0,0,6.46,0
EMP0194,Support,12,95.78,0,0,4,16,83.58,72.4,0,1,83.87,0,0,0.0,0
EMP0195,HR,64,96.22,0,0,13,7,78.43,75.3,0,0,70.78,0,0,5.69,0
EMP0196,Finance,22,93.42,1,3,12,8,86.59,91.85,2.8,0,85.84,1,0,5.15,0
EMP0197,Finance,27,100.0,0,0,4,16,54.07,73.95,6.6,0,51.87,0,0,6.67,0
EMP0198,Support,81,81.53,4,3,8,12,72.5,78.82,0,0,74.89,1,0,12.33,0
EMP0199,HR,48,89.41,3,0,9,11,83.39,82.19,11.5,2,76.78,1,0,8.38,0
EMP0200,Engineering,50,93.21,0,0,6,14,45.44,71.79,4.4,2,47.39,0,2,5.09,0
EMP0201,Sales,19,100.0,1,1,18,2,99.06,80.89,8.5,2,97.17,3,0,8.27,0
EMP0202,Support,9,100.0,0,0,5,15,42.99,87.38,4.7,0,41.34,0,0,2.87,0
EMP0203,Engineering,14,82.89,4,2,12,8,65.99,68.16,8.6,0,71.12,0,0,10.22,0
EMP0204,Engineering,51,96.28,0,0,14,6,100.0,89.63,5.4,0,93.9,0,0,5.13,0
EMP0205,Operations,39,100.0,0,0,5,15,56.53,77.1,7.8,2,60.85,1,1,2.4,0
EMP0206,Operations,9,82.65,5,4,13,7,76.46,80.33,14.6,1,75.46,0,2,13.0,0
EMP0207,HR,65,66.32,10,4,5,15,58.82,83.8,2.3,0,59.28,1,0,15.15,1
EMP0208,Engineering,50,100.0,0,0,5,15,75.79,78.12,12.4,0,80.01,2,0,4.17,0
EMP0209,Operations,77,90.68,1,0,1,19,68.89,72.3,16.6,1,59.72,0,0,1.49,0
EMP0210,Sales,14,100.0,0,2,6,14,56.59,72.52,12.9,0,53.56,0,0,6.36,0
EMP0211,Support,39,93.47,3,1,9,11,89.93,69.22,7.0,1,81.39,0,0,5.45,0
EMP0212,Support,5,54.29,9,7,4,16,69.14,69.13,0,2,60.24,0,0,19.54,0
EMP0213,Finance,13,68.61,8,4,2,18,100.0,84.42,0,1,92.41,2,0,15.51,0
EMP0214,Sales,38,82.15,4,4,9,11,56.94,69.82,4.7,2,52.9,0,0,14.92,0
EMP0215,Operations,44,74.89,7,4,5,15,65.01,76.67,0,0,73.71,0,0,12.59,0
EMP0216,Operations,74,89.26,0,1,6,14,59.08,57.96,12.9,0,53.48,0,0,6.14,0
EMP0217,Sales,25,89.08,2,1,5,15,82.67,82.56,8.3,0,79.05,0,2,8.64,0
EMP0218,Sales,44,71.28,8,6,17,3,50.73,83.88,15.2,1,51.35,0,3,22.68,1
EMP0219,Sales,22,100.0,1,0,4,16,58.71,67.32,0,1,50.76,1,0,5.76,0
EMP0220,Engineering,71,87.68,5,2,13,7,88.61,82.81,8.3,0,88.97,0,1,6.19,0
EMP0221,Finance,15,91.05,0,0,3,17,92.45,69.85,8.8,2,78.38,2,0,7.65,0
EMP0222,Engineering,86,92.92,2,0,5,15,97.13,86.43,8.4,2,93.87,0,3,3.46,0
EMP0223,Operations,6,94.8,0,0,4,16,94.4,75.86,3.5,2,100.0,0,1,7.66,0
EMP0224,Support,12,80.34,5,3,10,10,48.38,71.64,0,0,51.45,0,0,15.72,0
EMP0225,Operations,14,74.14,7,4,2,18,79.73,73.78,5.1,0,85.05,3,0,10.21,1
EMP0226,HR,57,96.96,1,0,13,7,63.54,65.85,0.4,3,54.32,0,0,4.84,0
EMP0227,Support,94,88.1,4,1,4,16,83.5,77.67,3.8,0,77.0,1,1,6.34,1
EMP0228,HR,42,89.82,6,2,8,12,65.16,75.83,10.6,1,60.38,1,0,6.81,0
EMP0229,Support,3,97.89,1,0,7,13,90.04,70.0,0.5,0,94.45,1,2,8.13,0
EMP0230,Operations,59,77.9,7,1,4,16,63.96,84.6,9.1,2,68.95,0,1,11.12,0
EMP0231,Engineering,6,99.14,0,0,2,18,64.97,76.35,6.9,1,67.46,1,0,3.7,0
EMP0232,Engineering,82,96.36,0,0,3,17,54.95,81.23,9.3,0,42.36,2,1,7.08,0
EMP0233,Operations,89,70.89,6,5,10,10,50.61,67.12,3.8,4,43.27,1,0,15.2,0
EMP0234,HR,18,98.53,1,1,4,16,83.74,69.89,13.0,0,77.43,0,0,3.0,0
EMP0235,Operations,91,70.23,4,2,7,13,70.95,69.52,9.5,0,73.62,0,1,9.0,0
EMP0236,HR,2,85.31,3,3,12,8,81.22,78.49,8.2,0,90.72,1,0,19.17,1
EMP0237,HR,14,74.58,4,3,6,14,65.63,60.75,3.3,0,60.88,0,0,6.4,0
EMP0238,Support,41,91.9,1,1,5,15,92.87,69.64,5.5,0,84.13,0,0,0.25,0
EMP0239,Support,25,85.94,4,1,5,15,81.75,68.93,8.4,0,88.14,0,0,6.64,0
EMP0240,Operations,6,94.02,2,3,10,10,58.59,64.59,4.5,0,52.72,0,0,13.55,0
EMP0241,Sales,21,75.14,7,4,9,11,76.87,71.4,7.2,1,82.12,3,1,13.38,1
EMP0242,Support,45,63.49,10,4,4,16,94.51,67.33,16.0,2,92.18,0,0,12.25,0
EMP0243,Finance,66,92.25,0,3,10,10,79.94,79.59,2.8,2,86.68,0,0,6.11,0
EMP0244,Support,55,92.17,1,2,0,20,73.19,76.26,1.9,0,66.78,1,0,5.97,0
EMP0245,Finance,72,100.0,1,1,5,15,60.41,71.78,9.4,1,62.26,1,0,6.11,1
EMP0246,Engineering,46,93.11,1,1,4,16,94.4,67.59,6.3,0,99.68,0,0,1.28,0
EMP0247,Sales,38,94.48,1,0,0,20,80.32,61.34,14.5,0,71.0,0,0,2.16,0
EMP0248,Engineering,40,92.9,4,0,5,15,96.67,78.19,7.0,0,90.13,0,0,2.09,0
EMP0249,Sales,60,85.13,3,1,5,15,79.99,82.17,2.3,0,87.47,0,0,4.7,0
EMP0250,Finance,79,78.06,3,4,12,8,86.53,78.39,8.5,1,72.37,0,0,5.59,0
EMP0251,Finance,62,76.99,6,2,12,8,82.6,83.63,0,2,89.92,0,1,14.84,0
EMP0252,Engineering,65,73.13,4,2,4,16,74.89,73.87,16.7,0,76.48,0,0,7.9,0
EMP0253,Finance,18,74.01,6,2,10,10,59.83,78.84,0,1,49.89,0,0,14.82,0
EMP0254,Operations,95,84.8,0,4,9,11,75.26,76.19,12.9,0,79.93,0,2,10.48,1
EMP0255,Support,42,100.0,2,0,5,15,73.06,67.97,1.5,0,65.19,2,0,8.42,0
EMP0256,Operations,67,69.64,9,3,13,7,75.22,81.35,0,1,74.77,0,0,17.28,0
EMP0257,Engineering,85,90.7,5,1,3,17,64.45,83.01,13.6,1,65.0,0,0,7.23,1
EMP0258,Sales,19,96.71,1,1,17,3,59.37,87.67,5.1,0,54.86,0,0,6.44,0
EMP0259,Operations,29,95.87,0,1,0,20,82.53,73.83,13.6,0,90.55,0,0,7.39,0
EMP0260,Operations,67,97.03,0,0,9,11,87.09,73.3,2.9,1,90.97,0,0,0.0,0
EMP0261,Engineering,87,79.37,3,2,8,12,64.07,79.56,0,0,63.26,1,1,13.35,1
EMP0262,Operations,33,79.36,5,3,5,15,84.26,79.7,12.7,1,79.96,0,0,5.46,0
EMP0263,Finance,53,83.49,4,1,5,15,83.01,70.73,7.6,0,78.03,0,1,2.74,0
EMP0264,Sales,62,87.76,4,0,13,7,71.55,67.83,0,0,59.8,0,0,8.63,0
EMP0265,Sales,79,81.86,2,4,16,4,80.12,86.16,14.8,0,80.2,0,0,11.57,0
EMP0266,HR,79,82.52,3,3,7,13,75.28,73.83,4.0,3,71.6,0,0,2.69,0
EMP0267,Support,30,74.54,4,2,12,8,79.9,73.69,10.0,0,79.51,0,0,7.37,0
