employeeId,department,tenureMonths,month,year,attendanceRate,lateCount,absenceCount,leaveCount,averageWorkingHours,overtimeHours,halfDayCount,previousPerformanceScore,departmentAverage,performanceScore,attritionRisk
EMP-042,Sales,106,11,2024,66.78,5,2,3,9.42,13.07,3,93.11,70.71,66.87,0
EMP-007,Engineering,114,2,2027,72.89,3,4,0,7.33,12.38,1,81.0,80.89,66.74,0
EMP-037,QA,111,7,2025,81.89,3,4,8,7.67,10.74,1,75.04,72.28,60.04,0
EMP-011,HR,37,3,2025,93.77,8,3,2,7.68,13.21,2,84.91,76.93,68.97,0
EMP-041,Marketing,59,4,2026,88.03,5,2,3,9.2,6.64,1,72.11,72.25,69.57,0
EMP-018,HR,26,8,2023,81.88,1,2,8,7.09,7.35,1,61.33,75.98,58.01,0
EMP-015,Operations,42,3,2023,96.96,3,0,2,8.5,7.72,1,97.86,67.09,87.23,0
EMP-022,Sales,31,12,2023,69.27,5,5,1,7.49,6.06,2,77.55,64.61,48.86,0
EMP-007,Engineering,110,10,2026,75.5,7,2,0,8.49,8.99,2,74.86,78.93,65.26,0
EMP-031,Engineering,97,11,2024,82.21,3,2,4,7.85,6.13,0,100.02,80.09,72.61,0
EMP-045,Marketing,47,9,2026,94.36,1,0,4,7.64,2.99,3,65.42,72.68,72.39,0
EMP-039,Sales,36,4,2024,89.6,4,3,2,8.55,1.42,3,92.62,67.15,69.78,0
EMP-003,Marketing,109,6,2025,77.24,2,1,7,7.29,12.14,3,68.95,69.79,64.28,0
EMP-042,Sales,120,1,2026,76.29,3,2,4,9.36,2.07,2,90.39,67.64,72.09,0
EMP-012,Finance,92,4,2024,81.74,6,3,4,7.43,8.64,2,83.11,72.86,57.44,0
EMP-002,HR,66,12,2024,68.22,10,4,2,7.08,0.85,2,56.76,77.99,41.86,0
EMP-041,Marketing,69,2,2027,90.61,3,3,1,8.4,9.35,1,63.96,75.88,69.1,0
EMP-023,Marketing,130,12,2026,85.59,1,0,2,7.73,12.5,0,60.99,69.95,72.48,0
EMP-015,Operations,72,9,2025,97.61,0,1,2,9.07,13.42,2,99.62,73.36,90.21,0
EMP-017,Engineering,75,6,2023,81.76,8,4,7,6.92,0.9,0,98.68,77.63,52.65,0
EMP-019,QA,63,11,2025,72.89,0,0,2,9.16,11.88,2,79.18,73.65,77.28,0
EMP-045,Marketing,7,5,2023,98.38,0,0,4,7.77,0,3,55.22,67.23,64.51,0
EMP-021,HR,72,11,2025,81.98,2,1,4,8.22,6.37,1,88.15,72.64,69.61,0
EMP-006,Marketing,40,1,2026,84.25,1,2,1,8.27,0.86,3,87.73,71.58,67.66,0
EMP-046,Finance,74,12,2025,93.94,5,3,2,8.38,8.06,2,84.44,73.07,67.45,0
EMP-023,Marketing,85,3,2023,79.23,2,2,6,7.9,12.72,1,57.55,76.44,61.02,0
EMP-039,Sales,35,3,2024,81.45,10,1,4,6.52,6.39,3,96.4,63.18,58.34,0
EMP-003,Marketing,110,7,2025,91.88,3,1,3,9.38,10.77,0,69.7,68.72,76.86,0
EMP-031,Engineering,86,12,2023,94.03,3,2,1,9.42,7.88,3,97.35,81.48,76.87,0
EMP-016,Engineering,79,10,2024,85.04,2,3,4,7.5,11.14,1,71.01,78.73,64.3,0
EMP-040,Finance,114,9,2025,95.02,2,0,2,7.45,2.39,3,88.72,79.4,76.3,0
EMP-047,HR,27,5,2023,82.67,8,4,4,7.48,9.41,3,83.97,70.18,52.03,0
EMP-008,Marketing,35,2,2025,85.26,0,1,3,8.06,13.75,1,63.1,69.98,73.43,0
EMP-025,Engineering,24,7,2023,94.4,2,1,6,8.79,4.93,3,53.75,79.42,70.43,0
EMP-049,HR,85,3,2026,96.45,7,1,2,8.51,0,0,72.52,72.34,72.43,0
EMP-015,Operations,44,5,2023,96.29,1,1,0,8.26,0,2,98.0,67.27,82.79,0
EMP-040,Finance,107,2,2025,98.4,1,0,1,6.61,11.65,3,84.01,75.46,79.07,0
EMP-046,Finance,57,7,2024,83.57,3,3,8,8.68,9.64,2,99.17,76.82,72.02,0
EMP-042,Sales,100,5,2024,74.87,9,6,0,7.95,3.01,0,92.35,63.19,50.48,0
EMP-027,Marketing,89,5,2026,74.39,7,2,2,8.64,8.54,1,72.01,71.36,63.12,0
EMP-023,Marketing,106,12,2024,87.97,1,2,2,9.49,14.76,3,60.79,70.2,72.99,0
EMP-002,HR,59,5,2024,77.06,5,6,2,8.35,8.51,2,49.47,69.11,46.01,0
EMP-018,HR,34,4,2024,84.08,5,1,2,6.54,14.1,1,64.12,76.58,63.88,0
EMP-017,Engineering,70,1,2023,81.97,7,5,2,6.97,5.03,1,93.22,74.47,58.0,0
EMP-031,Engineering,98,12,2024,84.21,2,0,3,6.72,9.4,0,95.61,73.83,73.41,0
EMP-005,Finance,85,10,2025,95.07,1,1,1,6.84,2.44,1,78.34,72.8,77.28,0
EMP-010,HR,31,9,2023,97.18,1,0,0,7.58,7.66,0,67.09,75.02,78.67,0
EMP-044,Operations,125,6,2026,88.26,3,1,3,6.7,0,1,62.17,66.3,59.96,0
EMP-013,Finance,53,4,2023,84.99,4,2,4,9.42,5.92,0,57.38,71.71,62.2,0
EMP-049,HR,72,2,2025,77.67,3,4,4,7.39,2.23,2,77.27,71.59,53.97,0
EMP-003,Marketing,102,11,2024,79.26,2,1,0,9.45,6.63,1,74.72,68.8,71.82,0
EMP-022,Sales,26,7,2023,82.59,10,6,4,7.14,13.4,2,81.56,72.27,43.84,0
EMP-046,Finance,70,8,2025,92.75,5,2,5,7.36,8.51,0,88.47,73.12,67.97,0
EMP-040,Finance,117,12,2025,96.16,1,1,2,6.99,6.56,1,84.12,73.49,79.2,0
EMP-023,Marketing,126,8,2026,76.19,2,2,8,7.65,11.42,3,51.51,68.41,59.97,0
EMP-024,Engineering,49,11,2025,92.26,2,1,3,7.72,11.56,0,57.36,82.19,70.37,0
EMP-046,Finance,54,4,2024,85.08,4,0,5,7.57,9.59,2,95.06,77.56,71.07,0
EMP-002,HR,90,12,2026,69.64,3,2,5,8.19,3.49,3,50.18,69.57,54.46,0
EMP-012,Finance,106,6,2025,70.22,6,3,5,7.83,13.74,0,89.29,80.87,60.7,0
EMP-004,Finance,55,3,2023,97.28,9,3,2,8.4,9.52,0,70.71,75.28,64.44,0
EMP-001,Operations,19,7,2023,84.14,3,1,2,7.55,10.68,1,80.27,70.02,70.0,0
EMP-034,QA,30,12,2023,88.47,8,1,3,7.31,5.58,1,87.13,78.1,70.03,0
EMP-044,Operations,105,10,2024,75.68,6,1,2,6.88,1.19,3,65.86,65.73,49.54,0
EMP-002,HR,44,2,2023,76.23,9,6,2,8.28,1.09,3,53.89,70.8,39.75,0
EMP-004,Finance,68,4,2024,86.47,3,2,2,8.36,14.33,1,71.28,77.78,74.11,0
EMP-023,Marketing,103,9,2024,85.78,2,2,2,6.84,8.09,3,54.39,68.16,57.7,0
EMP-028,Engineering,88,5,2023,80.88,3,2,0,9.06,6.67,1,85.51,80.52,78.05,0
EMP-033,Engineering,91,6,2025,84.51,3,2,4,8.8,8.85,0,73.43,76.56,75.56,0
EMP-032,Engineering,51,4,2023,81.17,8,5,5,8.08,8.18,1,86.93,81.5,57.94,0
EMP-037,QA,103,11,2024,77.11,4,3,0,8.88,7.0,0,74.54,73.26,63.03,0
EMP-040,Finance,86,5,2023,95.72,2,1,3,7.27,3.46,3,90.68,78.51,72.07,0
EMP-037,QA,89,9,2023,80.71,10,3,4,7.99,0,1,77.35,77.99,51.89,0
EMP-024,Engineering,47,9,2025,89.87,3,1,3,6.93,5.22,0,53.53,82.73,64.59,0
EMP-035,Finance,47,9,2026,96.2,0,0,4,8.01,1.53,1,74.26,78.93,82.28,0
EMP-047,HR,50,4,2025,68.41,13,6,2,8.8,0.2,1,78.5,78.66,45.55,0
EMP-035,Finance,17,3,2024,95.09,2,1,4,8.79,8.8,2,72.87,75.17,70.85,0
EMP-045,Marketing,31,5,2025,93.09,1,0,3,7.12,11.56,0,60.94,72.74,72.33,0
EMP-017,Engineering,74,5,2023,78.61,5,4,4,8.02,12.22,2,91.19,77.52,67.96,0
EMP-038,Finance,101,1,2027,76.25,0,0,2,7.03,8.19,0,92.58,73.97,78.69,0
EMP-041,Marketing,21,2,2023,86.83,4,2,3,8.26,1.42,3,71.49,69.21,57.94,0
EMP-001,Operations,48,12,2025,94.54,5,2,1,6.93,13.74,2,82.34,66.83,71.13,0
EMP-014,Sales,56,12,2026,85.54,7,0,4,9.02,9.14,1,84.0,67.79,72.36,0
EMP-027,Marketing,57,9,2023,76.91,9,4,2,6.8,7.51,0,64.63,68.29,45.96,0
EMP-045,Marketing,29,3,2025,96.23,2,0,2,6.57,4.56,1,52.01,74.2,66.59,0
EMP-049,HR,58,12,2023,90.82,7,1,1,7.57,13.07,0,72.83,74.94,70.48,0
EMP-048,Sales,97,3,2025,82.6,4,0,3,8.59,11.51,0,81.65,72.78,76.46,0
EMP-047,HR,53,7,2025,78.26,4,5,4,7.45,1.48,2,72.94,77.51,55.83,0
EMP-039,Sales,46,2,2025,92.9,5,0,2,7.32,9.36,0,83.54,71.12,78.72,0
EMP-027,Marketing,78,6,2025,79.88,4,4,7,6.95,6.11,1,66.39,70.92,53.46,0
EMP-029,Marketing,49,7,2026,72.72,4,4,2,7.86,10.07,0,101.75,71.73,65.14,0
EMP-009,Marketing,64,12,2024,94.16,2,4,3,7.61,12.05,0,84.4,70.8,69.34,0
EMP-012,Finance,124,12,2026,79.41,5,4,3,7.84,6.83,3,78.91,73.31,58.85,0
EMP-048,Sales,87,5,2024,90.17,0,2,0,6.73,3.81,2,73.32,70.12,72.54,0
EMP-014,Sales,38,6,2025,83.05,0,0,6,9.18,13.47,0,78.6,65.1,74.47,0
EMP-049,HR,76,6,2025,95.36,8,4,6,7.46,6.02,2,80.18,70.84,60.11,0
EMP-024,Engineering,46,8,2025,86.72,5,4,8,8.05,13.86,3,59.73,81.74,52.91,0
EMP-038,Finance,83,7,2025,84.66,2,0,5,6.91,0.15,1,85.34,73.75,73.99,0
EMP-017,Engineering,119,2,2027,84.18,3,2,4,9.46,10.73,1,89.87,78.86,79.4,0
EMP-002,HR,58,4,2024,68.53,6,5,2,9.01,8.94,0,58.5,71.16,50.51,0
EMP-005,Finance,52,1,2023,98.76,0,1,3,8.97,10.63,0,76.91,73.55,82.37,0
EMP-012,Finance,84,8,2023,66.76,7,4,5,7.23,14.08,2,82.52,80.27,54.68,0
EMP-032,Engineering,69,10,2024,68.94,10,6,1,9.35,7.6,0,83.09,83.0,54.12,0
EMP-023,Marketing,88,6,2023,78.43,3,0,6,6.64,4.64,0,52.14,75.51,61.13,0
EMP-018,HR,35,5,2024,87.08,1,1,1,6.61,1.84,0,75.14,78.53,72.98,0
EMP-039,Sales,54,10,2025,70.11,7,1,2,9.04,3.46,1,89.08,64.33,58.98,0
EMP-009,Marketing,89,1,2027,76.27,7,4,1,8.41,12.4,0,83.1,72.18,64.96,0
EMP-003,Marketing,105,2,2025,82.11,3,1,3,6.7,11.3,1,79.99,68.46,71.01,0
EMP-026,HR,67,3,2024,91.21,3,0,6,8.04,13.48,3,80.75,77.74,68.96,0
EMP-008,Marketing,37,4,2025,77.87,3,2,5,7.32,5.45,2,61.84,75.65,62.74,0
EMP-002,HR,70,4,2025,70.01,6,4,2,7.06,12.03,1,58.19,73.93,46.99,0
EMP-028,Engineering,98,3,2024,84.04,5,2,6,9.39,4.84,2,90.69,78.4,71.48,0
EMP-008,Marketing,53,8,2026,81.24,2,0,5,8.51,2.25,3,62.67,72.99,70.21,0
EMP-031,Engineering,102,4,2025,83.03,7,1,6,7.55,3.36,3,94.04,74.81,60.38,0
EMP-042,Sales,125,6,2026,81.31,10,3,5,9.38,5.25,3,91.83,70.02,53.34,0
EMP-042,Sales,85,2,2023,79.99,4,2,3,7.18,7.75,3,94.5,64.4,67.75,0
EMP-046,Finance,62,12,2024,86.14,5,0,5,7.36,9.88,0,93.95,79.62,79.29,0
EMP-007,Engineering,101,1,2026,81.29,5,6,1,6.88,9.75,0,74.86,79.58,58.01,0
EMP-043,Operations,50,6,2023,91.64,2,0,4,8.48,9.61,1,67.22,70.62,72.77,0
EMP-040,Finance,106,1,2025,95.49,2,1,2,7.9,9.06,2,87.53,78.96,79.71,0
EMP-006,Marketing,24,9,2024,92.03,4,3,1,9.49,3.19,2,98.26,68.26,74.15,0
EMP-024,Engineering,26,12,2023,90.97,5,4,2,7.19,6.66,2,58.16,77.08,55.32,0
EMP-029,Marketing,33,3,2025,88.13,8,0,6,8.36,6.56,0,98.32,76.1,69.16,0
EMP-050,Sales,117,12,2025,95.46,1,1,2,7.97,6.64,0,59.11,63.61,74.58,0
EMP-001,Operations,17,5,2023,91.99,4,3,0,8.77,8.0,0,87.82,72.58,78.75,0
EMP-037,QA,96,4,2024,74.88,10,5,4,7.1,12.14,0,81.09,70.79,47.77,0
EMP-035,Finance,4,2,2023,95.66,0,0,3,8.38,2.47,0,71.02,79.97,81.72,0
EMP-050,Sales,82,1,2023,95.24,1,1,2,8.29,9.27,1,62.42,70.09,78.57,0
EMP-045,Marketing,43,5,2026,96.01,2,0,3,9.06,5.09,0,58.62,70.27,76.53,0
EMP-031,Engineering,109,11,2025,87.31,3,1,2,9.11,2.78,1,92.25,77.77,80.4,0
EMP-008,Marketing,49,4,2026,86.94,3,2,5,8.8,6.78,1,56.83,68.19,68.32,0
EMP-020,Finance,16,12,2023,96.8,1,1,2,9.45,4.37,2,76.1,77.95,84.21,0
EMP-036,HR,95,11,2026,85.25,5,3,2,7.85,0,1,60.36,73.61,59.67,0
EMP-038,Finance,84,8,2025,77.61,3,2,6,8.09,5.88,3,97.17,71.17,69.59,0
EMP-030,QA,75,10,2024,93.58,1,1,1,8.71,10.39,0,50.23,70.65,72.39,0
EMP-047,HR,36,2,2024,72.65,6,4,1,8.73,4.38,1,78.05,72.74,56.92,0
EMP-016,Engineering,65,8,2023,94.2,4,0,3,8.72,14.51,2,69.48,77.31,73.14,0
EMP-016,Engineering,93,12,2025,89.31,5,2,5,8.79,1.15,1,72.22,76.46,62.17,0
EMP-041,Marketing,24,5,2023,87.83,1,2,3,7.65,2.36,3,64.85,71.5,66.43,0
EMP-030,QA,102,1,2027,95.72,0,1,4,7.8,6.47,2,65.32,72.77,77.35,0
EMP-013,Finance,54,5,2023,83.09,3,2,2,8.29,9.67,0,55.01,71.05,63.56,0
EMP-013,Finance,60,11,2023,82.14,0,1,4,6.82,7.1,2,67.84,71.09,70.54,0
EMP-047,HR,52,6,2025,69.96,3,3,7,7.86,14.14,0,75.86,78.37,58.49,0
EMP-017,Engineering,110,5,2026,77.69,8,4,0,9.12,4.24,0,88.52,82.96,63.2,0
EMP-039,Sales,28,8,2023,85.99,5,3,2,7.64,7.07,0,91.01,64.13,70.38,0
EMP-010,HR,51,5,2025,98.33,1,1,3,8.15,6.32,2,57.55,75.43,77.21,0
EMP-033,Engineering,109,12,2026,79.25,2,2,1,8.38,8.09,1,70.99,80.77,66.12,0
EMP-039,Sales,26,6,2023,91.82,8,0,4,6.52,7.81,0,87.91,69.18,63.99,0
EMP-043,Operations,64,8,2024,82.46,0,1,4,8.18,12.09,0,71.09,72.9,75.04,0
EMP-015,Operations,55,4,2024,98.29,3,0,6,8.81,3.97,3,88.33,72.54,79.01,0
EMP-002,HR,76,10,2025,70.01,10,5,4,9.23,4.2,3,58.48,74.73,43.28,0
EMP-024,Engineering,64,2,2027,86.33,0,3,0,9.11,8.69,0,64.41,73.46,72.16,0
EMP-001,Operations,59,11,2026,87.04,1,2,3,8.66,1.17,1,78.26,66.33,67.69,0
EMP-040,Finance,100,7,2024,95.68,2,1,3,8.52,7.85,1,84.16,79.55,82.52,0
EMP-026,HR,93,5,2026,81.58,1,0,4,7.86,0,2,84.3,72.12,69.07,0
EMP-021,HR,40,3,2023,84.8,6,2,5,7.75,13.35,3,94.32,78.25,67.34,0
EMP-027,Marketing,74,2,2025,68.16,8,4,1,9.46,8.91,0,71.9,69.67,61.43,0
EMP-020,Finance,9,5,2023,93.88,2,1,2,7.06,8.84,1,79.04,71.96,72.47,0
EMP-008,Marketing,42,9,2025,81.1,2,2,1,9.27,5.89,3,59.51,69.7,69.74,0
EMP-037,QA,83,3,2023,67.11,9,3,5,8.16,14.71,0,85.34,79.67,54.62,0
EMP-014,Sales,14,6,2023,75.42,6,2,2,8.27,0,2,89.78,64.73,59.83,0
EMP-001,Operations,42,6,2025,84.71,2,3,4,7.81,9.14,1,84.31,74.36,74.13,0
EMP-027,Marketing,80,8,2025,81.68,8,2,7,7.5,7.48,3,67.68,74.87,50.38,0
EMP-040,Finance,101,8,2024,95.17,1,0,6,9.47,1.74,1,84.44,73.63,79.29,0
EMP-011,HR,17,7,2023,83.59,1,1,6,7.96,13.56,2,89.23,69.2,69.46,0
EMP-017,Engineering,76,7,2023,73.54,10,6,2,6.96,4.39,0,94.33,80.21,45.84,0
EMP-035,Finance,10,8,2023,93.64,0,1,4,8.44,0,3,66.91,77.68,75.1,0
EMP-024,Engineering,38,12,2024,81.2,7,1,2,8.5,0,1,56.68,80.12,63.5,0
EMP-025,Engineering,38,9,2024,92.82,2,0,0,7.53,13.97,2,65.3,75.19,71.97,0
EMP-035,Finance,7,5,2023,92.77,1,0,3,8.91,8.78,2,61.29,78.69,77.52,0
EMP-034,QA,29,11,2023,75.84,8,2,0,7.21,10.14,3,78.63,73.77,56.65,0
EMP-010,HR,38,4,2024,94.1,2,1,3,6.9,0.74,2,67.82,76.73,65.89,0
EMP-044,Operations,128,9,2026,85.88,5,3,3,7.98,8.11,2,73.36,65.1,61.26,0
EMP-007,Engineering,104,4,2026,77.58,7,3,2,7.49,0.48,1,72.64,78.48,55.8,0
EMP-030,QA,103,2,2027,93.64,1,1,2,8.23,1.76,2,57.78,73.8,65.27,0
EMP-039,Sales,50,6,2025,95.96,7,1,2,9.39,9.77,1,92.14,70.09,76.71,0
EMP-006,Marketing,11,8,2023,89.07,5,2,5,8.1,9.96,2,88.04,74.98,64.36,0
EMP-031,Engineering,87,1,2024,84.0,4,1,1,7.29,2.99,1,100.73,79.98,74.96,0
EMP-009,Marketing,51,11,2023,81.05,2,3,1,9.16,3.98,1,84.99,72.08,75.4,0
EMP-040,Finance,126,9,2026,92.27,0,0,1,9.35,1.5,0,80.95,74.85,84.81,0
EMP-009,Marketing,54,2,2024,79.28,7,4,3,8.19,14.8,0,78.45,73.79,65.08,0
EMP-014,Sales,12,4,2023,75.53,7,3,4,7.54,2.18,0,77.32,64.22,52.23,0
EMP-006,Marketing,28,1,2025,84.23,5,1,1,7.44,3.14,1,98.71,68.01,74.81,0
EMP-033,Engineering,103,6,2026,75.57,0,0,3,7.41,13.16,1,60.1,81.61,73.02,0
EMP-044,Operations,133,2,2027,86.88,7,1,3,7.84,5.01,3,66.93,73.63,62.72,0
EMP-046,Finance,61,11,2024,85.19,1,2,2,6.98,6.98,1,97.77,77.51,74.97,0
EMP-041,Marketing,50,7,2025,89.55,3,1,8,7.63,0.9,2,72.17,73.17,61.8,0
EMP-018,HR,29,11,2023,84.51,3,0,2,8.68,0.42,0,76.28,70.89,76.6,0
EMP-005,Finance,89,2,2026,97.52,0,0,3,7.7,14.82,2,83.59,80.27,82.3,0
EMP-032,Engineering,56,9,2023,71.0,10,5,2,6.61,9.92,0,81.55,75.85,51.18,0
EMP-046,Finance,75,1,2026,90.55,4,3,2,8.94,5.3,2,84.45,75.89,73.27,0
EMP-035,Finance,27,1,2025,93.7,1,0,2,9.14,12.39,3,62.31,72.88,75.66,0
EMP-001,Operations,52,4,2026,83.48,5,3,3,7.1,1.58,2,78.46,65.4,54.46,0
EMP-019,QA,41,1,2024,81.28,2,2,3,6.92,11.78,1,77.71,78.19,72.24,0
EMP-007,Engineering,71,7,2023,66.44,5,4,6,9.29,4.43,2,72.4,75.79,54.97,0
EMP-023,Marketing,120,2,2026,91.6,1,2,4,8.98,1.25,3,64.52,72.44,72.1,0
EMP-016,Engineering,103,10,2026,82.86,4,1,3,9.11,9.41,0,64.1,82.91,67.4,0
EMP-047,HR,58,12,2025,69.41,5,5,5,8.23,4.86,1,79.77,73.45,57.26,0
EMP-037,QA,94,2,2024,67.82,4,3,0,6.65,2.66,1,79.34,72.64,59.84,0
EMP-010,HR,56,10,2025,92.81,2,0,4,9.11,4.53,3,60.18,76.8,74.1,0
EMP-041,Marketing,32,1,2024,80.73,5,2,4,8.18,2.84,3,67.81,75.93,54.4,0
EMP-004,Finance,98,10,2026,83.06,7,2,3,7.49,13.61,2,72.59,73.53,60.01,0
EMP-016,Engineering,88,7,2025,84.2,5,0,3,8.3,6.45,1,64.36,73.5,69.87,0
EMP-022,Sales,66,11,2026,69.69,3,3,1,7.41,12.1,0,85.63,71.38,70.62,0
EMP-001,Operations,35,11,2024,84.96,3,1,1,6.96,12.04,2,82.1,65.28,69.2,0
EMP-021,HR,51,2,2024,94.83,3,2,4,7.18,9.16,1,97.39,71.99,73.97,0
EMP-002,HR,86,8,2026,80.62,6,3,6,7.48,5.32,2,62.66,72.2,54.32,0
EMP-001,Operations,16,4,2023,91.77,8,2,2,7.88,3.44,1,79.32,73.22,62.86,0
EMP-043,Operations,78,10,2025,85.22,2,1,1,8.05,5.83,2,61.5,68.4,68.87,0
EMP-044,Operations,94,11,2023,79.92,0,0,4,7.27,12.82,2,74.36,65.26,67.58,0
EMP-012,Finance,83,7,2023,75.74,9,3,2,7.73,10.12,1,81.27,71.74,61.42,0
EMP-040,Finance,94,1,2024,97.59,1,0,2,6.71,14.17,3,83.53,79.55,78.16,0
EMP-046,Finance,71,9,2025,94.97,4,2,4,7.67,2.09,1,88.34,80.93,68.27,0
EMP-033,Engineering,95,10,2025,85.01,0,2,0,8.31,12.15,1,64.31,77.54,72.98,0
EMP-046,Finance,66,4,2025,91.55,6,0,4,8.64,3.32,2,91.21,73.83,67.81,0
EMP-039,Sales,39,7,2024,89.98,4,4,6,8.81,12.79,0,95.81,64.59,69.17,0
EMP-025,Engineering,39,10,2024,94.97,1,1,0,8.93,10.6,3,67.17,78.96,76.52,0
EMP-006,Marketing,27,12,2024,84.46,4,3,5,9.11,1.12,2,90.47,71.62,61.15,0
EMP-040,Finance,98,5,2024,93.12,0,1,2,9.33,5.77,1,88.97,80.27,84.53,0
EMP-032,Engineering,97,2,2027,75.19,3,5,2,7.38,11.31,3,90.13,81.98,59.21,0
EMP-021,HR,87,2,2027,83.3,4,2,2,7.31,3.07,1,87.95,71.29,65.13,0
EMP-009,Marketing,68,4,2025,76.15,9,3,3,6.96,14.99,0,78.45,76.7,53.64,0
EMP-013,Finance,57,8,2023,89.3,1,2,5,9.05,14.9,2,60.74,80.68,67.54,0
EMP-030,QA,55,2,2023,94.32,1,0,2,6.7,3.92,1,56.43,77.57,72.73,0
EMP-039,Sales,43,11,2024,97.43,6,2,4,8.02,9.61,0,82.37,69.28,66.73,0
EMP-024,Engineering,27,1,2024,82.18,3,0,3,8.26,8.0,0,65.01,75.89,71.18,0
EMP-031,Engineering,91,5,2024,89.12,2,3,0,6.92,13.63,3,85.0,75.74,67.66,0
EMP-009,Marketing,49,9,2023,82.8,1,3,4,6.56,12.81,0,80.27,73.86,69.34,0
EMP-011,HR,18,8,2023,89.89,2,1,3,8.03,0.23,0,93.59,70.14,73.19,0
EMP-006,Marketing,50,11,2026,82.66,3,2,2,8.32,9.91,1,98.17,74.02,79.68,0
EMP-012,Finance,104,4,2025,80.28,4,6,4,7.46,7.76,0,77.52,80.15,56.06,0
EMP-026,HR,57,5,2023,84.68,4,0,1,8.59,4.06,0,81.19,73.47,76.77,0
EMP-048,Sales,115,9,2026,78.6,1,0,0,8.63,10.11,1,71.84,71.0,78.2,0
EMP-010,HR,49,3,2025,98.13,5,1,6,8.06,13.66,2,62.27,72.47,66.31,0
EMP-033,Engineering,92,7,2025,86.49,3,0,6,8.56,11.65,0,60.66,74.75,75.66,0
EMP-033,Engineering,75,2,2024,82.06,0,0,1,6.95,1.44,0,65.36,79.43,68.96,0
EMP-011,HR,59,1,2027,82.37,2,3,2,8.54,3.56,0,88.7,74.44,73.89,0
EMP-036,HR,83,11,2025,87.7,4,0,2,8.25,8.67,1,59.24,78.01,66.07,0
EMP-032,Engineering,66,7,2024,71.27,8,5,2,6.74,13.31,3,85.62,74.81,53.21,0
EMP-045,Marketing,19,5,2024,94.01,2,1,2,7.97,10.68,0,55.58,76.38,74.06,0
EMP-033,Engineering,96,11,2025,76.29,1,1,0,8.2,0,2,70.73,81.55,67.93,0
EMP-002,HR,92,2,2027,69.22,8,5,0,8.32,10.63,3,62.5,76.15,49.76,0
EMP-030,QA,91,2,2026,95.26,0,1,4,7.49,13.97,3,50.79,75.32,67.26,0
EMP-018,HR,54,12,2025,84.46,2,2,2,7.91,0.65,2,65.61,75.72,62.13,0
EMP-004,Finance,63,11,2023,89.91,5,0,0,8.14,14.96,3,66.31,78.5,70.78,0
EMP-027,Marketing,79,7,2025,77.68,5,5,7,8.2,5.85,0,67.32,72.45,53.86,0
EMP-011,HR,40,6,2025,85.41,5,2,4,9.25,4.74,3,84.27,71.73,65.98,0
EMP-022,Sales,49,6,2025,83.66,10,5,7,8.34,8.46,2,72.32,67.85,43.26,0
EMP-011,HR,58,12,2026,80.13,2,2,5,8.16,12.99,1,89.76,77.25,76.69,0
EMP-037,QA,97,5,2024,66.09,4,6,1,6.89,0.55,3,82.85,79.33,48.56,0
